0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,4,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,5,12,13,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,26,13,1,0,0,0,0,0,0
0,0,0,0,0,1,1,0,1,1,2,1,0,5,2,8,14,5,1,1,0,0,0,0,0
0,0,0,0,1,0,3,1,3,3,3,3,3,1,2,7,12,3,1,1,0,0,0,0,0
0,0,0,0,0,0,1,4,9,21,48,12,3,6,8,14,9,2,3,5,1,1,0,0,0
0,0,0,0,0,2,0,7,14,73,118,39,22,20,33,57,22,7,1,5,5,1,0,2,0
0,0,0,0,1,2,2,8,38,168,176,53,72,76,134,113,21,1,0,5,4,3,2,0,0
0,0,0,0,0,4,15,46,252,519,144,38,94,218,470,241,12,4,1,2,1,2,1,1,1
0,0,0,1,3,9,53,166,868,687,63,8,64,396,1125,671,21,0,0,0,1,0,0,0,0
0,0,0,0,1,11,68,203,1097,621,32,9,45,540,1173,620,19,4,0,0,0,0,0,0,0
0,0,0,0,0,7,30,98,601,389,46,10,56,431,458,166,17,3,0,0,0,0,0,0,0
0,0,0,0,0,0,8,36,130,91,12,2,36,127,89,57,26,2,0,0,0,0,0,0,0
0,0,0,0,1,0,2,3,20,10,4,3,14,41,27,35,17,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,1,2,8,8,13,15,5,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
